throughput	time
95181.066	2019-08-28T16:44:10.000Z
92734.967	2019-08-28T16:44:40.000Z
118215.667	2019-08-28T16:45:10.000Z
111836.966	2019-08-28T16:45:40.000Z
103872.166	2019-08-28T16:46:10.000Z
101584.167	2019-08-28T16:46:40.000Z
88638	2019-08-28T16:47:10.000Z
117509.066	2019-08-28T16:47:40.000Z
94816.333	2019-08-28T16:48:10.000Z
81361.333	2019-08-28T16:48:40.000Z
70146.8	2019-08-28T16:49:10.000Z
80178.6	2019-08-28T16:49:40.000Z
76743.6	2019-08-28T16:50:10.000Z
69343.666	2019-08-28T16:50:40.000Z
75725.5	2019-08-28T16:51:10.000Z
67909.533	2019-08-28T16:51:40.000Z
82481.4	2019-08-28T16:52:10.000Z
80084.534	2019-08-28T16:52:40.000Z
78639.1	2019-08-28T16:53:10.000Z
72366.067	2019-08-28T16:53:40.000Z
81157.5	2019-08-28T16:54:10.000Z
85298.267	2019-08-28T16:54:40.000Z
101246	2019-08-28T16:55:10.000Z
91931.8	2019-08-28T16:55:40.000Z
78251.867	2019-08-28T16:56:10.000Z
89441.933	2019-08-28T16:56:40.000Z
88877.567	2019-08-28T16:57:10.000Z
70334.166	2019-08-28T16:57:40.000Z
79264.533	2019-08-28T16:58:10.000Z
77527.4	2019-08-28T16:58:40.000Z
72060.233	2019-08-28T16:59:10.000Z
75529.9	2019-08-28T16:59:40.000Z
68986.1	2019-08-28T17:00:10.000Z
78717.067	2019-08-28T17:00:40.000Z
92632.2	2019-08-28T17:01:10.000Z
94287	2019-08-28T17:01:40.000Z
80935.834	2019-08-28T17:02:10.000Z
77596.467	2019-08-28T17:02:40.000Z
76830.967	2019-08-28T17:03:10.000Z
68773.633	2019-08-28T17:03:40.000Z
76434.633	2019-08-28T17:04:10.000Z
71439.966	2019-08-28T17:04:40.000Z
75450.3	2019-08-28T17:05:10.000Z
73940.967	2019-08-28T17:05:40.000Z
73816.567	2019-08-28T17:06:10.000Z
75387.367	2019-08-28T17:06:40.000Z
12548.9	2019-08-28T17:07:10.000Z
3032.5	2019-08-28T17:07:40.000Z
1420	2019-08-28T17:08:10.000Z
2332.233	2019-08-28T17:08:40.000Z
1528.634	2019-08-28T17:09:10.000Z
2402.167	2019-08-28T17:09:40.000Z
1267.867	2019-08-28T17:10:10.000Z
2113.067	2019-08-28T17:10:40.000Z
2101.234	2019-08-28T17:11:10.000Z
68765.766	2019-08-28T17:11:40.000Z
